Author-year,AgS,ReT,SA (m2/g),Metal,AIC (mg/L),Temp,pH,rpm,Adc,Qm (µg/g),Aged condition,Solution- added agent,Note,Unnamed: 14
(Li_Zhang  2022),Aged,PS,2.545,Cr (VI),10.5,15.0,,180.0,Single-ion,261.17,Lab: UV,,,
(Li_Zhang  2022),Aged,PA,0.0417,Cr (VI),10.5,15.0,,180.0,Single-ion,726.75,Lab: UV,,,
(Li_Zhang  2022),Aged,PS,2.545,Cr (VI),10.5,25.0,,180.0,Single-ion,330.61,Lab: UV,,,
(Li_Zhang  2022),Aged,PE,0.5607,Cr (VI),10.5,35.0,,180.0,Single-ion,244.34,Lab: UV,,,
(Li_Zhang  2022),Aged,PA,0.0417,Cr (VI),10.5,35.0,,180.0,Single-ion,796.66,Lab: UV,,,
"(Lin et al., 2022)",Virgins,PS,,Cu (II),11.597875,15.0,,170.0,Mixed,33.275,,HBCD ,,
"(Lin et al., 2022)",Virgins,PS,,Cu (II),11.597875,25.0,,170.0,Mixed,40.111,,HBCD ,,
"(Lin et al., 2022)",Virgins,PS,,Cu (II),11.597875,35.0,,170.0,Mixed,48.217,,HBCD ,,
"(Lin et al., 2022)",Virgins,PS,,Zn (II),10.710925,15.0,,170.0,Mixed,15.577,,HBCD ,,
"(Lin et al., 2022)",Virgins,PS,,Zn (II),10.710925,25.0,,170.0,Mixed,23.213,,HBCD ,,
"(Lin et al., 2022)",Virgins,PS,,Zn (II),10.710925,35.0,,170.0,Mixed,27.569,,HBCD ,,
"(Lin et al., 2022)",Virgins,PS,,Ni (II),11.93185,15.0,,170.0,Mixed,9.228,,HBCD ,,
"(Lin et al., 2022)",Virgins,PS,,Ni (II),11.93185,15.0,,170.0,Mixed,11.724,,HBCD ,,
"(Lin et al., 2022)",Virgins,PS,,Ni (II),11.93185,15.0,,170.0,Mixed,13.416,,HBCD ,,
(Liu_Huang 2022),Virgins,PE,0.144,Pb (II),30.0,25.0,,150.0,Single-ion,9250.0,,,Investigation of the adsorption,V-PE
(Liu_Huang 2022),Virgins,PE,0.144,Pb (II),30.0,25.0,,150.0,Mixed,5250.0,,Na,V-PE-50mM Na,
(Liu_Huang 2022),Virgins,PE,0.144,Pb (II),30.0,25.0,,150.0,Mixed,7780.0,,Na,V-PE-10mM Na,
(Liu_Huang 2022),Aged,PE,0.521,Pb (II),30.0,25.0,,150.0,Mixed,17730.0,Nature: river,Na,A-PE-10mM Na,
(Liu_Huang 2022),Virgins,PE,0.144,Pb (II),30.0,25.0,,150.0,Mixed,4160.0,,Ca,V-PE-5mM Ca,
(Liu_Huang 2022),Virgins,PE,0.144,Pb (II),30.0,25.0,,150.0,Mixed,6990.0,,Ca,V-PE-1mM Ca,
(Liu_Huang 2022),Aged,PE,0.521,Pb (II),30.0,25.0,,150.0,Mixed,8710.0,Nature: river,Ca,A-PE-5mM Ca,
(Liu_Zhang  2022),Virgin,PE,0.4552,Pb (II),15.0,25.0,,150.0,Single-ion,536.0,,,PE,The influence of Pb(II)
(Liu_Zhang  2022),Virgin,PLA,0.3663,Pb (II),15.0,25.0,,150.0,Single-ion,670.0,,,PLA,
(Liu_Zhang  2022),Aged,PE,0.8361,Pb (II),15.0,25.0,,150.0,Single-ion,821.0,Lab: UV/O3,,APE,
(Liu_Zhang  2022),Aged,PE,0.3663,Pb (II),15.0,25.0,,150.0,Single-ion,977.0,Lab: UV/O3,,APLA,
"(Nguyen et al., 2022)",Virgin,PE,,Pb (II),1.05,25.0,5.0,,Single-ion,78.73599999999999,,,48 microm,
"(Nguyen et al., 2022)",Virgin,PE,,Pb (II),1.05,25.0,5.0,,Single-ion,39.9896,,,125 microm,
"(Nguyen et al., 2022)",Virgin,PE,,Pb (II),1.05,25.0,5.0,,Single-ion,30.2512,,,500 microm,
"(Qiongjie et al., 2022)",Virgin,PS,,Cu (II),3.34,25.0,6.0,,Single-ion,16.1495,,,Pb(II) = 0,V-PS
"(Qiongjie et al., 2022)",Virgin,PS,,Cu (II),3.34,25.0,6.0,,Mixed,14.4756,,Pb,Pb(II) = 0.005 mmol/L,
"(Qiongjie et al., 2022)",Virgin,PS,,Cu (II),3.34,25.0,6.0,,Mixed,13.1719,,Pb,Pb(II) = 0.01 mmol/L,
"(Qiongjie et al., 2022)",Virgin,PS,,Cu (II),3.34,25.0,6.0,,Mixed,9.2151,,Pb,Pb(II) = 0.05 mmol/L,
"(Qiongjie et al., 2022)",Virgin,PS,,Cu (II),3.34,25.0,6.0,,Mixed,7.8111,,Pb,Pb(II) = 0.1 mmol/L,
"(Qiongjie et al., 2022)",Virgin,PS,,Pb (II),10.88,25.0,6.0,,Single-ion,23.8335,,,Cu(II) = 0,
"(Qiongjie et al., 2022)",Virgin,PS,,Pb (II),10.88,25.0,6.0,,Mixed,20.1289,,Cu,Cu(II) = 0.005 mmol/L,
"(Qiongjie et al., 2022)",Virgin,PS,,Pb (II),10.88,25.0,6.0,,Mixed,19.0987,,Cu,Cu(II) = 0.01 mmol/L,
"(Qiongjie et al., 2022)",Virgin,PS,,Pb (II),10.88,25.0,6.0,,Mixed,13.9557,,Cu,Cu(II) = 0.05 mmol/L,
"(Qiongjie et al., 2022)",Virgin,PS,,Pb (II),10.88,25.0,6.0,,Mixed,11.7943,,Cu,Cu(II) = 0.1 mmol/L,
"(Qiongjie et al., 2022)",Aged,PS,,Cu (II),3.34,25.0,6.0,,Single-ion,19.8878,Lab: UV,,Pb(II) = 0,UV-PS
"(Qiongjie et al., 2022)",Aged,PS,,Cu (II),3.34,25.0,6.0,,Mixed,16.7497,,Pb,Pb(II) = 0.005 mmol/L,
"(Qiongjie et al., 2022)",Aged,PS,,Cu (II),3.34,25.0,6.0,,Mixed,15.2978,,Pb,Pb(II) = 0.01 mmol/L,
"(Qiongjie et al., 2022)",Aged,PS,,Cu (II),3.34,25.0,6.0,,Mixed,11.463,,Pb,Pb(II) = 0.05 mmol/L,
"(Qiongjie et al., 2022)",Aged,PS,,Cu (II),3.34,25.0,6.0,,Mixed,10.4185,,Pb,Pb(II) = 0.1 mmol/L,
"(Qiongjie et al., 2022)",Aged,PS,,Pb (II),10.88,25.0,6.0,,Single-ion,26.6819,,,Cu(II) = 0,
"(Qiongjie et al., 2022)",Aged,PS,,Pb (II),10.88,25.0,6.0,,Mixed,22.4351,,Cu,Cu(II) = 0.005 mmol/L,
